-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:434 10:661 11:1 12:1 13:1 14:1 15:1 16:1 17:2905 18:3954 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:18 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:1467 10:661 11:1 12:1 13:1 14:1 15:1 16:1 17:8374 18:3954 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:10 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:874 10:661 11:1 12:1 13:1 14:1 15:1 16:1 17:5623 18:3954 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:6 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:489 10:661 11:1 12:1 13:1 14:1 15:1 16:1 17:3163 18:3954 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:1 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:60 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:1 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:60 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:17 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:1416 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:7882 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:437 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:3009 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:23 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:2082 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:14104 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:433 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:2460 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:437 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:2745 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:434 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:1968 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:437 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:3163 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:11 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:928 10:672 11:1 12:1 13:1 14:1 15:1 16:1 17:3936 18:3926 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:1 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:60 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:17 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:1415 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:8110 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:6 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:490 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:1968 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:27 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:2291 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:14024 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:6 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:485 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:2745 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:437 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:2460 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:10 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:875 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:4977 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:9 3:1 4:1 5:1 6:1 7:1 8:1 9:437 10:811 11:1 12:1 13:1 14:1 15:1 16:1 17:3163 18:4680 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:1 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:438 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:1968 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:433 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:2745 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:433 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:1968 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:27 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:2291 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:11601 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:3 2:7 3:1 4:1 5:1 6:1 7:1 8:1 9:333 10:654 11:1 12:1 13:1 14:1 15:1 16:1 17:1916 18:3366 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:1 2:6 3:1 4:1 5:1 6:1 7:1 8:1 9:60 10:577 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:3223 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:6 2:6 3:1 4:1 5:1 6:1 7:1 8:1 9:489 10:577 11:1 12:1 13:1 14:1 15:1 16:1 17:3009 18:3223 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:5 2:6 3:1 4:1 5:1 6:1 7:1 8:1 9:433 10:577 11:1 12:1 13:1 14:1 15:1 16:1 17:2745 18:3223 19:1 20:1 21:1 22:1 23:1 24:1
-1 1:14 2:6 3:1 4:1 5:1 6:1 7:1 8:1 9:1261 10:577 11:1 12:1 13:1 14:1 15:1 16:1 17:5866 18:3223 19:1 20:1 21:1 22:1 23:1 24:1
